Namespace(batch_size=256, epoch=60, evaluate=False, log_model_dir='./log', lr=0.01, lr_milestone=[15, 40], num_workers=2, root='./', show_interval=10, snapshot_interval=5, test_interval=2)
[epoch:0, batch:9]	 [loss: 0.537]	 [accuracy: 0.820]	 [lr: 0.010000]
[epoch:0, batch:19]	 [loss: 0.374]	 [accuracy: 0.895]	 [lr: 0.010000]
[epoch:0, batch:29]	 [loss: 0.251]	 [accuracy: 0.910]	 [lr: 0.010000]
[epoch:0, batch:39]	 [loss: 0.207]	 [accuracy: 0.945]	 [lr: 0.010000]
[epoch:0, batch:49]	 [loss: 0.191]	 [accuracy: 0.953]	 [lr: 0.010000]
[epoch:0, batch:59]	 [loss: 0.210]	 [accuracy: 0.949]	 [lr: 0.010000]
[epoch:0, batch:69]	 [loss: 0.157]	 [accuracy: 0.941]	 [lr: 0.010000]
[epoch:0, batch:79]	 [loss: 0.135]	 [accuracy: 0.957]	 [lr: 0.010000]
[epoch:0, batch:89]	 [loss: 0.168]	 [accuracy: 0.949]	 [lr: 0.010000]
[epoch:0, batch:99]	 [loss: 0.111]	 [accuracy: 0.953]	 [lr: 0.010000]
[epoch:0, batch:109]	 [loss: 0.193]	 [accuracy: 0.949]	 [lr: 0.010000]
[epoch:0, batch:119]	 [loss: 0.101]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:0, batch:129]	 [loss: 0.154]	 [accuracy: 0.965]	 [lr: 0.010000]
[epoch:0, batch:139]	 [loss: 0.167]	 [accuracy: 0.949]	 [lr: 0.010000]
[epoch:0, batch:149]	 [loss: 0.060]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:0, batch:159]	 [loss: 0.150]	 [accuracy: 0.961]	 [lr: 0.010000]
[epoch:0, batch:169]	 [loss: 0.154]	 [accuracy: 0.957]	 [lr: 0.010000]
[epoch:0, batch:179]	 [loss: 0.076]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:0, batch:189]	 [loss: 0.100]	 [accuracy: 0.973]	 [lr: 0.010000]
[epoch:0, batch:199]	 [loss: 0.122]	 [accuracy: 0.961]	 [lr: 0.010000]
[epoch:0, batch:209]	 [loss: 0.087]	 [accuracy: 0.973]	 [lr: 0.010000]
[epoch:0, batch:219]	 [loss: 0.108]	 [accuracy: 0.965]	 [lr: 0.010000]
[epoch:0, batch:229]	 [loss: 0.060]	 [accuracy: 0.984]	 [lr: 0.010000]

***************validation result*******************
loss_avg: 0.077	 accuracy_avg: 0.975
****************************************************

[epoch:1, batch:4]	 [loss: 0.061]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:14]	 [loss: 0.098]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:1, batch:24]	 [loss: 0.112]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:1, batch:34]	 [loss: 0.082]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:44]	 [loss: 0.103]	 [accuracy: 0.965]	 [lr: 0.010000]
[epoch:1, batch:54]	 [loss: 0.045]	 [accuracy: 0.973]	 [lr: 0.010000]
[epoch:1, batch:64]	 [loss: 0.048]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:74]	 [loss: 0.037]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:84]	 [loss: 0.029]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:1, batch:94]	 [loss: 0.107]	 [accuracy: 0.953]	 [lr: 0.010000]
[epoch:1, batch:104]	 [loss: 0.057]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:114]	 [loss: 0.096]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:1, batch:124]	 [loss: 0.101]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:1, batch:134]	 [loss: 0.039]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:144]	 [loss: 0.069]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:154]	 [loss: 0.102]	 [accuracy: 0.965]	 [lr: 0.010000]
[epoch:1, batch:164]	 [loss: 0.046]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:174]	 [loss: 0.042]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:184]	 [loss: 0.038]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:1, batch:194]	 [loss: 0.120]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:1, batch:204]	 [loss: 0.085]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:1, batch:214]	 [loss: 0.085]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:1, batch:224]	 [loss: 0.098]	 [accuracy: 0.965]	 [lr: 0.010000]
[epoch:1, batch:234]	 [loss: 0.142]	 [accuracy: 0.979]	 [lr: 0.010000]
[epoch:2, batch:9]	 [loss: 0.065]	 [accuracy: 0.973]	 [lr: 0.010000]
[epoch:2, batch:19]	 [loss: 0.027]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:2, batch:29]	 [loss: 0.066]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:2, batch:39]	 [loss: 0.043]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:2, batch:49]	 [loss: 0.077]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:2, batch:59]	 [loss: 0.121]	 [accuracy: 0.973]	 [lr: 0.010000]
[epoch:2, batch:69]	 [loss: 0.063]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:2, batch:79]	 [loss: 0.042]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:2, batch:89]	 [loss: 0.037]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:2, batch:99]	 [loss: 0.065]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:2, batch:109]	 [loss: 0.048]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:2, batch:119]	 [loss: 0.093]	 [accuracy: 0.973]	 [lr: 0.010000]
[epoch:2, batch:129]	 [loss: 0.057]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:2, batch:139]	 [loss: 0.065]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:2, batch:149]	 [loss: 0.032]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:2, batch:159]	 [loss: 0.036]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:2, batch:169]	 [loss: 0.039]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:2, batch:179]	 [loss: 0.040]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:2, batch:189]	 [loss: 0.046]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:2, batch:199]	 [loss: 0.063]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:2, batch:209]	 [loss: 0.064]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:2, batch:219]	 [loss: 0.088]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:2, batch:229]	 [loss: 0.079]	 [accuracy: 0.977]	 [lr: 0.010000]

***************validation result*******************
loss_avg: 0.062	 accuracy_avg: 0.980
****************************************************

[epoch:3, batch:4]	 [loss: 0.100]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:14]	 [loss: 0.069]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:24]	 [loss: 0.048]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:3, batch:34]	 [loss: 0.077]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:3, batch:44]	 [loss: 0.030]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:3, batch:54]	 [loss: 0.081]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:3, batch:64]	 [loss: 0.060]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:74]	 [loss: 0.078]	 [accuracy: 0.969]	 [lr: 0.010000]
[epoch:3, batch:84]	 [loss: 0.035]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:3, batch:94]	 [loss: 0.032]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:3, batch:104]	 [loss: 0.042]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:114]	 [loss: 0.064]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:3, batch:124]	 [loss: 0.089]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:134]	 [loss: 0.038]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:3, batch:144]	 [loss: 0.083]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:3, batch:154]	 [loss: 0.062]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:164]	 [loss: 0.040]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:3, batch:174]	 [loss: 0.056]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:3, batch:184]	 [loss: 0.024]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:3, batch:194]	 [loss: 0.071]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:204]	 [loss: 0.049]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:3, batch:214]	 [loss: 0.025]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:3, batch:224]	 [loss: 0.061]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:3, batch:234]	 [loss: 0.058]	 [accuracy: 0.979]	 [lr: 0.010000]
[epoch:4, batch:9]	 [loss: 0.032]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:4, batch:19]	 [loss: 0.031]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:4, batch:29]	 [loss: 0.044]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:4, batch:39]	 [loss: 0.019]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:4, batch:49]	 [loss: 0.079]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:4, batch:59]	 [loss: 0.072]	 [accuracy: 0.984]	 [lr: 0.010000]
